Rider_ID,Rider_Name,Gender,Age,Experience_Years,Vehicle_Type,Average_Speed_kmph,Reliability,Courtesy_Score,Home_Store,Hidden_Slow_Rider,Hidden_Star_Rider
R00001,Sourabh,Male,30,6,Scooter,25.0,0.905,4.48,DS04,False,False
R00002,Mohit,Male,27,10,Bicycle,18.3,0.99,3.81,DS07,False,False
R00003,Sachin,Male,45,2,Electric Scooter,35.0,0.902,3.35,DS09,False,False
R00004,Sandeep,Female,29,4,Scooter,26.8,0.922,3.86,DS06,False,False
R00005,Deepak,Male,24,5,Scooter,32.6,0.891,3.72,DS01,False,False
R00006,Rahul,Male,36,0,Scooter,18.85,0.7464000000000001,3.48,DS02,True,False
R00007,Harish,Male,33,7,Bicycle,17.4,0.99,4.22,DS26,False,False
R00008,Yash,Male,28,1,Bicycle,16.1,0.88,3.11,DS27,False,False
R00009,Ajay,Male,41,9,Electric Scooter,33.8,0.954,4.11,DS06,False,False
R00010,Rohit,Male,36,9,Scooter,20.150000000000002,0.7496,3.68,DS10,True,False
R00011,Rahul,Male,23,4,Scooter,23.4,0.909,4.03,DS03,False,False
R00012,Rahul,Male,45,5,Scooter,24.5,0.865,4.34,DS19,False,False
R00013,Sandeep,Male,42,9,Scooter,24.9,0.981,4.1,DS17,False,False
R00014,Vikas,Male,32,5,Scooter,24.0,0.986,4.83,DS28,False,False
R00015,Arjun,Male,23,0,Scooter,20.4,0.917,4.34,DS10,False,False
R00016,Manoj,Male,21,3,Scooter,22.8,0.944,4.1,DS18,False,False
R00017,Rakesh,Male,24,2,Electric Scooter,33.96,0.99,4.18,DS06,False,True
R00018,Rahul,Male,38,8,Electric Scooter,32.9,0.913,3.6,DS30,False,False
R00019,Aman,Male,30,1,Bicycle,17.8,0.976,4.62,DS24,False,False
R00020,Rahul,Male,34,3,Electric Scooter,26.2,0.955,3.83,DS11,False,False
R00021,Manoj,Male,31,7,Electric Scooter,32.8,0.87,3.2,DS30,False,False
R00022,Sachin,Male,28,3,Scooter,22.7,0.837,4.01,DS06,False,False
R00023,Abhishek,Male,28,5,Electric Scooter,33.1,0.906,3.88,DS06,False,False
R00024,Karan,Male,38,1,Scooter,25.3,0.919,3.08,DS06,False,False
R00025,Amit,Male,42,1,Bicycle,11.5,0.965,4.44,DS12,False,False
R00026,Sourabh,Male,42,3,Scooter,25.4,0.909,3.98,DS10,False,False
R00027,Pankaj,Male,43,6,Scooter,27.2,0.91,3.78,DS17,False,False
R00028,Karan,Female,43,7,Bicycle,17.6,0.99,4.2,DS03,False,False
R00029,Sachin,Male,26,2,Electric Scooter,27.4,0.896,4.23,DS07,False,False
R00030,Sandeep,Male,43,3,Scooter,24.1,0.925,4.06,DS18,False,False
R00031,Pankaj,Male,41,0,Scooter,19.1,0.87,3.94,DS18,False,False
R00032,Pankaj,Male,33,3,Scooter,29.2,0.957,3.69,DS21,False,False
R00033,Mohit,Female,23,7,Electric Scooter,28.4,0.949,3.96,DS30,False,False
R00034,Harish,Male,37,2,Scooter,23.3,0.941,4.3,DS22,False,False
R00035,Rakesh,Male,26,7,Scooter,24.7,0.98,4.29,DS28,False,False
R00036,Yash,Male,34,9,Scooter,29.8,0.906,4.19,DS15,False,False
R00037,Aman,Male,29,0,Scooter,21.0,0.806,4.4,DS12,False,False
R00038,Mohit,Female,37,8,Scooter,22.5,0.94,3.75,DS16,False,False
R00039,Mohit,Male,45,5,Scooter,27.7,0.938,3.77,DS16,False,False
R00040,Vikas,Male,27,9,Scooter,29.4,0.938,3.76,DS15,False,False
R00041,Sourabh,Male,31,2,Scooter,26.8,0.905,3.65,DS06,False,False
R00042,Amit,Male,22,0,Bicycle,17.3,0.806,3.97,DS02,False,False
R00043,Mohit,Male,37,9,Scooter,19.3,0.957,3.86,DS06,False,False
R00044,Deepak,Male,25,1,Bicycle,13.6,0.879,4.74,DS16,False,False
R00045,Manoj,Male,45,10,Scooter,32.4,0.99,4.1,DS18,False,False
R00046,Ajay,Male,34,6,Electric Scooter,34.5,0.929,4.06,DS09,False,False
R00047,Mohit,Male,23,3,Scooter,24.5,0.99,3.03,DS08,False,False
R00048,Rohit,Male,44,6,Bicycle,19.3,0.947,4.14,DS29,False,False
R00049,Pankaj,Male,28,10,Scooter,24.3,0.988,3.62,DS30,False,False
R00050,Rakesh,Female,20,7,Bicycle,17.3,0.952,3.87,DS14,False,False
R00051,Vikas,Male,22,6,Electric Scooter,31.6,0.935,3.72,DS28,False,False
R00052,Sachin,Male,38,6,Electric Scooter,29.3,0.885,4.48,DS30,False,False
R00053,Harish,Male,39,2,Scooter,25.2,0.878,4.81,DS08,False,False
R00054,Amit,Male,27,3,Electric Scooter,28.4,0.99,4.29,DS06,False,False
R00055,Karan,Male,34,5,Electric Scooter,32.2,0.935,3.85,DS23,False,False
R00056,Harish,Male,34,10,Bicycle,11.505,0.7376,3.71,DS01,True,False
R00057,Ajay,Male,22,7,Electric Scooter,32.6,0.964,4.58,DS19,False,False
R00058,Sourabh,Female,30,5,Bicycle,16.4,0.906,4.21,DS23,False,False
R00059,Nitin,Female,36,8,Scooter,26.4,0.952,3.67,DS01,False,False
R00060,Mohit,Male,21,1,Scooter,19.2,0.895,3.59,DS29,False,False
R00061,Deepak,Male,27,10,Scooter,13.91,0.792,4.17,DS08,True,False
R00062,Rohit,Female,37,10,Scooter,30.9,0.936,3.86,DS06,False,False
R00063,Mohit,Male,43,7,Bicycle,18.8,0.979,3.67,DS11,False,False
R00064,Rahul,Male,20,0,Electric Scooter,20.6,0.913,4.0,DS06,False,False
R00065,Harish,Male,32,9,Bicycle,17.1,0.99,4.11,DS28,False,False
R00066,Arjun,Male,22,7,Scooter,26.1,0.989,3.94,DS03,False,False
R00067,Sandeep,Male,24,2,Bicycle,12.0,0.856,4.05,DS08,False,False
R00068,Harish,Male,39,5,Scooter,24.3,0.869,4.52,DS12,False,False
R00069,Harish,Male,43,8,Scooter,24.9,0.99,3.45,DS15,False,False
R00070,Abhishek,Male,32,0,Scooter,21.1,0.967,4.37,DS23,False,False
R00071,Aman,Male,29,6,Electric Scooter,30.6,0.889,3.55,DS13,False,False
R00072,Mohit,Male,34,1,Bicycle,11.6,0.901,4.52,DS09,False,False
R00073,Rahul,Male,22,6,Scooter,22.8,0.934,3.88,DS19,False,False
R00074,Karan,Male,20,8,Scooter,28.1,0.926,3.94,DS25,False,False
R00075,Rohit,Male,42,6,Electric Scooter,30.8,0.924,4.14,DS05,False,False
R00076,Deepak,Male,40,4,Scooter,24.8,0.944,3.59,DS24,False,False
R00077,Harish,Male,39,0,Bicycle,11.1,0.914,4.57,DS15,False,False
R00078,Arjun,Male,24,6,Bicycle,15.1,0.878,3.72,DS05,False,False
R00079,Yash,Male,42,1,Scooter,23.0,0.882,4.13,DS03,False,False
R00080,Vikas,Male,33,7,Electric Scooter,23.4,0.914,4.17,DS13,False,False
R00081,Deepak,Male,26,10,Electric Scooter,32.6,0.915,3.4,DS30,False,False
R00082,Nitin,Male,43,1,Bicycle,14.1,0.828,5.0,DS13,False,False
R00083,Karan,Male,40,7,Electric Scooter,30.3,0.956,3.49,DS23,False,False
R00084,Sandeep,Male,39,0,Electric Scooter,29.4,0.844,3.88,DS01,False,False
R00085,Rahul,Male,32,3,Bicycle,13.6,0.875,4.41,DS06,False,False
R00086,Ajay,Male,27,8,Scooter,22.4,0.897,4.53,DS22,False,False
R00087,Pankaj,Male,30,8,Electric Scooter,30.9,0.912,3.59,DS22,False,False
R00088,Sandeep,Male,39,5,Electric Scooter,30.1,0.947,4.09,DS19,False,False
R00089,Sachin,Male,30,3,Bicycle,13.4,0.99,3.89,DS23,False,False
R00090,Yash,Male,31,7,Scooter,19.9,0.886,3.42,DS04,False,False
R00091,Nitin,Male,22,1,Scooter,26.3,0.833,3.7,DS03,False,False
R00092,Mohit,Male,31,8,Scooter,21.0,0.962,4.89,DS17,False,False
R00093,Yash,Male,37,6,Scooter,26.2,0.99,4.2,DS27,False,False
R00094,Ajay,Male,42,10,Scooter,29.6,0.968,3.23,DS09,False,False
R00095,Karan,Female,30,0,Electric Scooter,32.7,0.931,3.63,DS21,False,False
R00096,Sourabh,Male,32,9,Bicycle,15.1,0.964,4.1,DS04,False,False
R00097,Deepak,Male,19,10,Scooter,28.2,0.918,4.0,DS12,False,False
R00098,Nitin,Male,34,1,Bicycle,18.8,0.856,4.13,DS21,False,False
R00099,Arjun,Male,36,10,Scooter,27.2,0.973,3.62,DS05,False,False
R00100,Manoj,Male,33,8,Scooter,28.1,0.99,3.7,DS04,False,False
R00101,Sourabh,Male,19,10,Scooter,28.3,0.913,4.45,DS21,False,False
R00102,Karan,Male,22,1,Scooter,21.9,0.891,4.13,DS28,False,False
R00103,Yash,Male,41,5,Bicycle,14.2,0.943,3.9,DS10,False,False
R00104,Rahul,Male,21,4,Electric Scooter,31.1,0.893,3.28,DS15,False,False
R00105,Mohit,Male,27,7,Scooter,25.5,0.863,4.03,DS23,False,False
R00106,Rohit,Male,29,0,Scooter,24.6,0.87,3.95,DS04,False,False
R00107,Karan,Male,29,9,Scooter,28.3,0.922,3.38,DS14,False,False
R00108,Manoj,Male,45,10,Electric Scooter,29.5,0.947,3.68,DS16,False,False
R00109,Vikas,Male,25,2,Scooter,23.1,0.925,4.74,DS07,False,False
R00110,Vikas,Male,26,9,Electric Scooter,29.7,0.931,4.03,DS08,False,False
R00111,Sachin,Male,34,8,Bicycle,15.8,0.93,3.77,DS19,False,False
R00112,Aman,Female,24,7,Scooter,24.1,0.99,4.1,DS04,False,False
R00113,Yash,Male,19,2,Electric Scooter,36.7,0.932,3.91,DS19,False,False
R00114,Rakesh,Male,39,5,Scooter,28.5,0.905,4.56,DS10,False,False
R00115,Sachin,Male,37,5,Bicycle,13.4,0.941,4.48,DS01,False,False
R00116,Karan,Male,44,9,Scooter,26.1,0.918,3.83,DS17,False,False
R00117,Yash,Male,36,2,Electric Scooter,26.0,0.922,4.55,DS24,False,False
R00118,Harish,Male,31,10,Scooter,25.5,0.959,4.06,DS17,False,False
R00119,Abhishek,Male,21,10,Scooter,29.9,0.9,3.75,DS12,False,False
R00120,Ajay,Male,34,10,Bicycle,16.9,0.927,3.37,DS18,False,False
R00121,Manoj,Male,41,7,Scooter,24.5,0.897,3.05,DS15,False,False
R00122,Deepak,Male,43,6,Scooter,26.9,0.901,3.79,DS05,False,False
R00123,Rakesh,Male,22,6,Scooter,29.1,0.919,4.44,DS06,False,False
R00124,Sourabh,Male,23,2,Electric Scooter,25.2,0.91,3.88,DS24,False,False
R00125,Manoj,Male,21,3,Scooter,26.7,0.961,4.32,DS03,False,False
R00126,Ajay,Female,36,0,Electric Scooter,33.7,0.856,4.73,DS28,False,False
R00127,Sourabh,Male,37,10,Scooter,26.0,0.931,3.38,DS22,False,False
R00128,Arjun,Male,28,3,Scooter,24.3,0.945,3.87,DS22,False,False
R00129,Amit,Male,23,6,Scooter,24.1,0.965,3.91,DS30,False,False
R00130,Sourabh,Male,32,6,Electric Scooter,30.7,0.954,3.02,DS03,False,False
